Entry	Entry name	Status	Protein names	Gene names	Organism	Taxonomic lineage (ALL)	Taxonomic lineage (GENUS)	Taxonomic lineage IDs
L0FAR2	L0FAR2_DESDL	unreviewed	Translational regulator CsrA	csrA Desdi_2905	Desulfitobacterium dichloroeliminans (strain LMG P-21439 / DCA1)	cellular organisms, Bacteria, Terrabacteria group, Firmicutes, Clostridia, Eubacteriales, Peptococcaceae, Desulfitobacterium, Desulfitobacterium dichloroeliminans, Desulfitobacterium dichloroeliminans (strain LMG P-21439 / DCA1)	Desulfitobacterium	871963
A0A1Y0IK21	A0A1Y0IK21_9BACL	unreviewed	Translational regulator CsrA	csrA CBW65_04610	Tumebacillus avium	cellular organisms, Bacteria, Terrabacteria group, Firmicutes, Bacilli, Bacillales, Alicyclobacillaceae, Tumebacillus, Tumebacillus avium	Tumebacillus	1903704
A0A081P3J6	A0A081P3J6_9BACL	unreviewed	Translational regulator CsrA	csrA ET33_04215	Paenibacillus tyrfis	cellular organisms, Bacteria, Terrabacteria group, Firmicutes, Bacilli, Bacillales, Paenibacillaceae, Paenibacillus, Paenibacillus tyrfis	Paenibacillus	1501230
B2TLR7	CSRA_CLOBB	reviewed	Translational regulator CsrA	csrA CLL_A0811	Clostridium botulinum (strain Eklund 17B / Type B)	cellular organisms, Bacteria, Terrabacteria group, Firmicutes, Clostridia, Eubacteriales, Clostridiaceae, Clostridium, Clostridium botulinum, Clostridium botulinum B, Clostridium botulinum (strain Eklund 17B / Type B)	Clostridium	935198
A0A0M0KEC4	A0A0M0KEC4_9BACI	unreviewed	Translational regulator CsrA	csrA AMD01_22195	Priestia koreensis	cellular organisms, Bacteria, Terrabacteria group, Firmicutes, Bacilli, Bacillales, Bacillaceae, Priestia, Priestia koreensis	Priestia	284581
R9JEB6	R9JEB6_9FIRM	unreviewed	Translational regulator CsrA	csrA C807_02873	Lachnospiraceae bacterium 28-4	cellular organisms, Bacteria, Terrabacteria group, Firmicutes, Clostridia, Eubacteriales, Lachnospiraceae, unclassified Lachnospiraceae, Lachnospiraceae bacterium 28-4		397287
A0A350J1N4	A0A350J1N4_9GAMM	unreviewed	Translational regulator CsrA (Carbon storage regulator)	csrA DCE61_05725 DCW37_01910 DHT34_03485	Cellvibrionales bacterium	cellular organisms, Bacteria, Proteobacteria, Gammaproteobacteria, Cellvibrionales, unclassified Cellvibrionales, Cellvibrionales bacterium		2026722
A0A517MV08	A0A517MV08_9BACT	unreviewed	Translational regulator CsrA	csrA_3 csrA HG15A2_20040	Planctomycetes bacterium HG15A2	cellular organisms, Bacteria, PVC group, Planctomycetes, unclassified Planctomycetes, Planctomycetes bacterium HG15A2		1930276
C4Z9R8	CSRA_AGARV	reviewed	Translational regulator CsrA	csrA EUBREC_0111	Agathobacter rectalis (strain ATCC 33656 / DSM 3377 / JCM 17463 / KCTC 5835 / VPI 0990) (Eubacterium rectale)	cellular organisms, Bacteria, Terrabacteria group, Firmicutes, Clostridia, Eubacteriales, Lachnospiraceae, unclassified Lachnospiraceae, [Eubacterium] rectale, Agathobacter rectalis (strain ATCC 33656 / DSM 3377 / JCM 17463 / KCTC 5835 / VPI 0990) (Eubacterium rectale)		515619
A0A517ZCR3	A0A517ZCR3_9PLAN	unreviewed	Translational regulator CsrA	csrA Mal4_46390	Maioricimonas rarisocia	cellular organisms, Bacteria, PVC group, Planctomycetes, Planctomycetia, Planctomycetales, Planctomycetaceae, Maioricimonas, Maioricimonas rarisocia	Maioricimonas	2528026
A0A1V4I7V2	A0A1V4I7V2_9FIRM	unreviewed	Translational regulator CsrA	csrA CLOTH_12290	[Clostridium] thermoalcaliphilum	cellular organisms, Bacteria, Terrabacteria group, Firmicutes, Clostridia, Eubacteriales, Peptostreptococcaceae, Peptostreptococcaceae incertae sedis, [Clostridium] thermoalcaliphilum		29349
A0A1M6K208	A0A1M6K208_9FIRM	unreviewed	Translational regulator CsrA	csrA SAMN02745219_02766	Desulfofundulus thermosubterraneus DSM 16057	cellular organisms, Bacteria, Terrabacteria group, Firmicutes, Clostridia, Eubacteriales, Peptococcaceae, Desulfofundulus, Desulfofundulus thermosubterraneus, Desulfofundulus thermosubterraneus DSM 16057	Desulfofundulus	1121432
A0A0Q5R9W9	A0A0Q5R9W9_9MICO	unreviewed	Translational regulator CsrA	csrA ASG04_12375	Curtobacterium sp. Leaf183	cellular organisms, Bacteria, Terrabacteria group, Actinobacteria, Actinomycetia (high G+C Gram-positive bacteria), Micrococcales, Microbacteriaceae, Curtobacterium, unclassified Curtobacterium, Curtobacterium sp. Leaf183	Curtobacterium	1736291
A6VY64	A6VY64_MARMS	unreviewed	Translational regulator CsrA (Carbon storage regulator)	csrA Mmwyl1_2472	Marinomonas sp. (strain MWYL1)	cellular organisms, Bacteria, Proteobacteria, Gammaproteobacteria, Oceanospirillales, Oceanospirillaceae, Marinomonas, unclassified Marinomonas, Marinomonas sp. (strain MWYL1)	Marinomonas	400668
Q2LT33	CSRA_SYNAS	reviewed	Translational regulator CsrA	csrA SYNAS_13600 SYN_02810	Syntrophus aciditrophicus (strain SB)	cellular organisms, Bacteria, Proteobacteria, delta/epsilon subdivisions, Deltaproteobacteria, Syntrophobacterales, Syntrophaceae, Syntrophus, Syntrophus aciditrophicus, Syntrophus aciditrophicus (strain SB)	Syntrophus	56780
A0A0Q9NCW6	A0A0Q9NCW6_9MICC	unreviewed	Translational regulator CsrA	csrA ASG71_15930	Arthrobacter sp. Soil763	cellular organisms, Bacteria, Terrabacteria group, Actinobacteria, Actinomycetia (high G+C Gram-positive bacteria), Micrococcales, Micrococcaceae, Arthrobacter, unclassified Arthrobacter, Arthrobacter sp. Soil763	Arthrobacter	1736402
K2JV96	K2JV96_9GAMM	unreviewed	Translational regulator CsrA (Carbon storage regulator)	csrA A10D4_12859	Idiomarina xiamenensis 10-D-4	cellular organisms, Bacteria, Proteobacteria, Gammaproteobacteria, Alteromonadales, Idiomarinaceae, Idiomarina, Idiomarina xiamenensis, Idiomarina xiamenensis 10-D-4	Idiomarina	740709
A8F501	CSRA_PSELT	reviewed	Translational regulator CsrA	csrA Tlet_0669	Pseudothermotoga lettingae (strain ATCC BAA-301 / DSM 14385 / NBRC 107922 / TMO) (Thermotoga lettingae)	cellular organisms, Bacteria, Thermotogae, Thermotogae, Thermotogales, Thermotogaceae, Pseudothermotoga, Pseudothermotoga lettingae, Pseudothermotoga lettingae (strain ATCC BAA-301 / DSM 14385 / NBRC 107922 / TMO) (Thermotoga lettingae)	Pseudothermotoga	416591
B8HEI6	CSRA_PSECP	reviewed	Translational regulator CsrA	csrA Achl_2970	Pseudarthrobacter chlorophenolicus (strain ATCC 700700 / DSM 12829 / CIP 107037 / JCM 12360 / KCTC 9906 / NCIMB 13794 / A6) (Arthrobacter chlorophenolicus)	cellular organisms, Bacteria, Terrabacteria group, Actinobacteria, Actinomycetia (high G+C Gram-positive bacteria), Micrococcales, Micrococcaceae, Pseudarthrobacter, Pseudarthrobacter chlorophenolicus, Pseudarthrobacter chlorophenolicus (strain ATCC 700700 / DSM 12829 / CIP 107037 / JCM 12360 / KCTC 9906 / NCIMB 13794 / A6) (Arthrobacter chlorophenolicus)	Pseudarthrobacter	452863
A0A1I1ML18	A0A1I1ML18_9ACTN	unreviewed	Translational regulator CsrA	csrA SAMN05661030_1710	Klenkia taihuensis	cellular organisms, Bacteria, Terrabacteria group, Actinobacteria, Actinomycetia (high G+C Gram-positive bacteria), Geodermatophilales, Geodermatophilaceae, Klenkia, Klenkia taihuensis	Klenkia	1225127
B9E332	CSRA_CLOK1	reviewed	Translational regulator CsrA	csrA CKR_1856	Clostridium kluyveri (strain NBRC 12016)	cellular organisms, Bacteria, Terrabacteria group, Firmicutes, Clostridia, Eubacteriales, Clostridiaceae, Clostridium, Clostridium kluyveri, Clostridium kluyveri (strain NBRC 12016)	Clostridium	583346
F0SPN5	F0SPN5_RUBBR	unreviewed	Translational regulator CsrA	csrA Plabr_1382	Rubinisphaera brasiliensis (strain ATCC 49424 / DSM 5305 / JCM 21570 / NBRC 103401 / IFAM 1448) (Planctomyces brasiliensis)	cellular organisms, Bacteria, PVC group, Planctomycetes, Planctomycetia, Planctomycetales, Planctomycetaceae, Rubinisphaera, Rubinisphaera brasiliensis, Rubinisphaera brasiliensis (strain ATCC 49424 / DSM 5305 / JCM 21570 / NBRC 103401 / IFAM 1448) (Planctomyces brasiliensis)	Rubinisphaera	756272
A0A0S8DTK5	A0A0S8DTK5_9BACT	unreviewed	Translational regulator CsrA	csrA AMJ65_11430	Phycisphaerae bacterium SG8_4	cellular organisms, Bacteria, PVC group, Planctomycetes, Phycisphaerae, unclassified Phycisphaerae, Phycisphaerae bacterium SG8_4		1703409
H5UUI3	H5UUI3_9MICO	unreviewed	Translational regulator CsrA	csrA MOPEL_129_00340	Mobilicoccus pelagius NBRC 104925	cellular organisms, Bacteria, Terrabacteria group, Actinobacteria, Actinomycetia (high G+C Gram-positive bacteria), Micrococcales, Dermatophilaceae, Mobilicoccus, Mobilicoccus pelagius, Mobilicoccus pelagius NBRC 104925	Mobilicoccus	1089455
A0A3N0GLT3	A0A3N0GLT3_9ACTN	unreviewed	Translational regulator CsrA	csrA EFL26_17120	Marmoricola pocheonensis	cellular organisms, Bacteria, Terrabacteria group, Actinobacteria, Actinomycetia (high G+C Gram-positive bacteria), Propionibacteriales, Nocardioidaceae, Marmoricola, Marmoricola pocheonensis	Marmoricola	661485
T0LH21	T0LH21_9BACT	unreviewed	Translational regulator CsrA	csrA RBG1_1C00001G1112	candidate division Zixibacteria bacterium RBG-1	cellular organisms, Bacteria, FCB group, candidate division Zixibacteria, unclassified candidate division Zixibacteria, candidate division Zixibacteria bacterium RBG-1		1379698
F7XXK1	F7XXK1_MOREP	unreviewed	Translational regulator CsrA (Carbon storage regulator)	csrA MEPCIT_175	Moranella endobia (strain PCIT)	cellular organisms, Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacterales, Enterobacteriaceae, Candidatus Moranella, Candidatus Moranella endobia, Moranella endobia (strain PCIT)	Candidatus Moranella	903503
C6WJS5	C6WJS5_ACTMD	unreviewed	Translational regulator CsrA	csrA Amir_2360	Actinosynnema mirum (strain ATCC 29888 / DSM 43827 / JCM 3225 / NBRC 14064 / NCIMB 13271 / NRRL B-12336 / IMRU 3971 / 101)	cellular organisms, Bacteria, Terrabacteria group, Actinobacteria, Actinomycetia (high G+C Gram-positive bacteria), Pseudonocardiales, Pseudonocardiaceae, Actinosynnema, Actinosynnema mirum, Actinosynnema mirum (strain ATCC 29888 / DSM 43827 / JCM 3225 / NBRC 14064 / NCIMB 13271 / NRRL B-12336 / IMRU 3971 / 101)	Actinosynnema	446462
A0A432MJC2	A0A432MJC2_9BACT	unreviewed	Translational regulator CsrA	csrA TsocGM_12385	Tautonia sociabilis	cellular organisms, Bacteria, PVC group, Planctomycetes, Planctomycetia, Isosphaerales, Isosphaeraceae, Tautonia, Tautonia sociabilis	Tautonia	2080755
A6TL88	CSRA_ALKMQ	reviewed	Translational regulator CsrA	csrA Amet_0731	Alkaliphilus metalliredigens (strain QYMF)	cellular organisms, Bacteria, Terrabacteria group, Firmicutes, Clostridia, Eubacteriales, Clostridiaceae, Alkaliphilus, Alkaliphilus metalliredigens, Alkaliphilus metalliredigens (strain QYMF)	Alkaliphilus	293826
Q057H7	CSRA_BUCCC	reviewed	Translational regulator CsrA (Carbon storage regulator)	csrA BCc_255	Buchnera aphidicola subsp. Cinara cedri (strain Cc)	cellular organisms, Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacterales, Erwiniaceae, Buchnera (aphid P-endosymbionts), Buchnera aphidicola, Buchnera aphidicola (Cinara cedri), Buchnera aphidicola subsp. Cinara cedri (strain Cc)	Buchnera (aphid P-endosymbionts)	372461
A0A3D5W3M8	A0A3D5W3M8_9GAMM	unreviewed	Translational regulator CsrA (Carbon storage regulator)	csrA DG761_00710	Gammaproteobacteria bacterium	cellular organisms, Bacteria, Proteobacteria, Gammaproteobacteria, unclassified Gammaproteobacteria, Gammaproteobacteria bacterium		1913989
A0A380MWJ8	A0A380MWJ8_9GAMM	unreviewed	Translational regulator CsrA (Carbon storage regulator)	csrA_2 csrA csrA_1 NCTC13337_01751 NCTC13337_01950	Suttonella ornithocola	cellular organisms, Bacteria, Proteobacteria, Gammaproteobacteria, Cardiobacteriales, Cardiobacteriaceae, Suttonella, Suttonella ornithocola	Suttonella	279832
A0A0M4QHW5	A0A0M4QHW5_9MICC	unreviewed	Translational regulator CsrA	csrA AOC05_15960	Arthrobacter alpinus	cellular organisms, Bacteria, Terrabacteria group, Actinobacteria, Actinomycetia (high G+C Gram-positive bacteria), Micrococcales, Micrococcaceae, Arthrobacter, Arthrobacter alpinus	Arthrobacter	656366
A0A3D9P283	A0A3D9P283_9PSED	unreviewed	Translational regulator CsrA (Carbon storage regulator)	csrA DFS00_11276	Pseudomonas sp. 443	cellular organisms, Bacteria, Proteobacteria, Gammaproteobacteria, Pseudomonadales, Pseudomonadaceae, Pseudomonas, unclassified Pseudomonas, Pseudomonas sp. 443	Pseudomonas	2183916
A0A6S6QYH7	A0A6S6QYH7_9FIRM	unreviewed	Translational regulator CsrA	csrA acsn021_05060	Anaerocolumna cellulosilytica	cellular organisms, Bacteria, Terrabacteria group, Firmicutes, Clostridia, Eubacteriales, Lachnospiraceae, Anaerocolumna, Anaerocolumna cellulosilytica	Anaerocolumna	433286
A8FHX3	CSRA_BACP2	reviewed	Translational regulator CsrA	csrA BPUM_3186	Bacillus pumilus (strain SAFR-032)	cellular organisms, Bacteria, Terrabacteria group, Firmicutes, Bacilli, Bacillales, Bacillaceae, Bacillus, Bacillus pumilus (Bacillus mesentericus), Bacillus pumilus (strain SAFR-032)	Bacillus	315750
A0A1C0YI57	A0A1C0YI57_9BACL	unreviewed	Translational regulator CsrA	csrA A6K76_14225	Caryophanon latum	cellular organisms, Bacteria, Terrabacteria group, Firmicutes, Bacilli, Bacillales, Planococcaceae, Caryophanon, Caryophanon latum	Caryophanon	33977
A0A0B5BCX3	A0A0B5BCX3_9DELT	unreviewed	Translational regulator CsrA	csrA GPICK_02475	Geobacter pickeringii	cellular organisms, Bacteria, Proteobacteria, delta/epsilon subdivisions, Deltaproteobacteria, Desulfuromonadales, Geobacteraceae, Geobacter, Geobacter pickeringii	Geobacter	345632
A0A7C6ZJQ9	A0A7C6ZJQ9_9FIRM	unreviewed	Translational regulator CsrA	csrA GX502_00260	Syntrophaceticus sp.	cellular organisms, Bacteria, Terrabacteria group, Firmicutes, Clostridia, Thermoanaerobacterales, Thermoanaerobacterales Family III. Incertae Sedis, Syntrophaceticus, unclassified Syntrophaceticus, Syntrophaceticus sp.	Syntrophaceticus	2699755
A0A7C3ST14	A0A7C3ST14_9BACT	unreviewed	Translational regulator CsrA	csrA ENW01_04890	Candidatus Hydrogenedentes bacterium	cellular organisms, Bacteria, FCB group, Candidatus Hydrogenedentes, unclassified Candidatus Hydrogenedentes, Candidatus Hydrogenedentes bacterium		2030809
A0A1B1BIS4	A0A1B1BIS4_9MICO	unreviewed	Translational regulator CsrA	csrA PA27867_1535	Cryobacterium arcticum	cellular organisms, Bacteria, Terrabacteria group, Actinobacteria, Actinomycetia (high G+C Gram-positive bacteria), Micrococcales, Microbacteriaceae, Cryobacterium, Cryobacterium arcticum	Cryobacterium	670052
I0BA27	I0BA27_9BACL	unreviewed	Translational regulator CsrA	csrA B2K_00505	Paenibacillus mucilaginosus K02	cellular organisms, Bacteria, Terrabacteria group, Firmicutes, Bacilli, Bacillales, Paenibacillaceae, Paenibacillus, Paenibacillus mucilaginosus, Paenibacillus mucilaginosus K02	Paenibacillus	997761
Q748G1	CSRA_GEOSL	reviewed	Translational regulator CsrA	csrA GSU3041	Geobacter sulfurreducens (strain ATCC 51573 / DSM 12127 / PCA)	cellular organisms, Bacteria, Proteobacteria, delta/epsilon subdivisions, Deltaproteobacteria, Desulfuromonadales, Geobacteraceae, Geobacter, Geobacter sulfurreducens, Geobacter sulfurreducens (strain ATCC 51573 / DSM 12127 / PCA)	Geobacter	243231
A0A0A2TGL6	A0A0A2TGL6_9BACI	unreviewed	Translational regulator CsrA	csrA N782_03805	Pontibacillus yanchengensis Y32	cellular organisms, Bacteria, Terrabacteria group, Firmicutes, Bacilli, Bacillales, Bacillaceae, Pontibacillus, Pontibacillus yanchengensis, Pontibacillus yanchengensis Y32	Pontibacillus	1385514
A0A378IXS7	A0A378IXS7_9GAMM	unreviewed	Translational regulator CsrA (Carbon storage regulator)	csrA_3 csrA NCTC11978_02496	Legionella feeleii	cellular organisms, Bacteria, Proteobacteria, Gammaproteobacteria, Legionellales, Legionellaceae, Legionella, Legionella feeleii	Legionella	453
M1ZCV5	M1ZCV5_NITG3	unreviewed	Translational regulator CsrA	csrA NITGR_60005	Nitrospina gracilis (strain 3/211)	cellular organisms, Bacteria, Nitrospinae/Tectomicrobia group, Nitrospinae, Nitrospinia, Nitrospinales, Nitrospinaceae, Nitrospina, Nitrospina gracilis, Nitrospina gracilis (strain 3/211)	Nitrospina	1266370
A0A0P6WXF5	A0A0P6WXF5_9CHLR	unreviewed	Translational regulator CsrA	csrA ADM99_12460	Leptolinea tardivitalis	cellular organisms, Bacteria, Terrabacteria group, Chloroflexi, Anaerolineae, Anaerolineales, Anaerolineaceae, Leptolinea, Leptolinea tardivitalis	Leptolinea	229920
A4J774	CSRA_DESRM	reviewed	Translational regulator CsrA	csrA Dred_2417	Desulfotomaculum reducens (strain MI-1)	cellular organisms, Bacteria, Terrabacteria group, Firmicutes, Clostridia, Eubacteriales, Peptococcaceae, Desulfotomaculum, Desulfotomaculum reducens, Desulfotomaculum reducens (strain MI-1)	Desulfotomaculum	349161
A0A0W0WIN7	A0A0W0WIN7_9GAMM	unreviewed	Translational regulator CsrA (Carbon storage regulator)	csrA_2 csrA Lnau_3104	Legionella nautarum	cellular organisms, Bacteria, Proteobacteria, Gammaproteobacteria, Legionellales, Legionellaceae, Legionella, Legionella nautarum	Legionella	45070
Q1NP56	Q1NP56_9DELT	unreviewed	Translational regulator CsrA	csrA MldDRAFT_1094 MldDRAFT_2998 MldDRAFT_4769	delta proteobacterium MLMS-1	cellular organisms, Bacteria, Proteobacteria, delta/epsilon subdivisions, Deltaproteobacteria, unclassified Deltaproteobacteria, delta proteobacterium MLMS-1		262489
A0A4P5WR72	A0A4P5WR72_9BACT	unreviewed	Translational regulator CsrA	csrA LBMAG46_12920	Planctomycetia bacterium	cellular organisms, Bacteria, PVC group, Planctomycetes, Planctomycetia, unclassified Planctomycetia, Planctomycetia bacterium		2052181
P33911	CSRA_BACSU	reviewed	Translational regulator CsrA	csrA sow yviG BSU35370	Bacillus subtilis (strain 168)	cellular organisms, Bacteria, Terrabacteria group, Firmicutes, Bacilli, Bacillales, Bacillaceae, Bacillus, Bacillus subtilis group, Bacillus subtilis, Bacillus subtilis subsp. subtilis, Bacillus subtilis (strain 168)	Bacillus	224308
A0A150MLL2	A0A150MLL2_9BACI	unreviewed	Translational regulator CsrA	csrA B4113_1783	Geobacillus sp. B4113_201601	cellular organisms, Bacteria, Terrabacteria group, Firmicutes, Bacilli, Bacillales, Bacillaceae, Geobacillus, unclassified Geobacillus, Geobacillus sp. B4113_201601	Geobacillus	1586290
Q83FB6	CSRA1_COXBU	reviewed	Translational regulator CsrA 1 (Carbon storage regulator 1)	csrA1 csrA-1 CBU_0024	Coxiella burnetii (strain RSA 493 / Nine Mile phase I)	cellular organisms, Bacteria, Proteobacteria, Gammaproteobacteria, Legionellales, Coxiellaceae, Coxiella, Coxiella burnetii, Coxiella burnetii (strain RSA 493 / Nine Mile phase I)	Coxiella	227377
A0A142YC72	A0A142YC72_9PLAN	unreviewed	Translational regulator CsrA	csrA_2 csrA VT85_05155	Planctomyces sp. SH-PL62	cellular organisms, Bacteria, PVC group, Planctomycetes, Planctomycetia, Planctomycetales, Planctomycetaceae, Planctomyces, unclassified Planctomyces, Planctomyces sp. SH-PL62	Planctomyces	1636152
D5XCV0	D5XCV0_THEPJ	unreviewed	Translational regulator CsrA	csrA TherJR_2794	Thermincola potens (strain JR)	cellular organisms, Bacteria, Terrabacteria group, Firmicutes, Clostridia, Eubacteriales, Peptococcaceae, Thermincola, Thermincola potens, Thermincola potens (strain JR)	Thermincola	635013
R9MBC3	R9MBC3_9FIRM	unreviewed	Translational regulator CsrA	csrA C816_02403	Oscillibacter sp. 1-3	cellular organisms, Bacteria, Terrabacteria group, Firmicutes, Clostridia, Eubacteriales, Oscillospiraceae, Oscillibacter, unclassified Oscillibacter, Oscillibacter sp. 1-3	Oscillibacter	1235797
A0A0K1XGR9	A0A0K1XGR9_9GAMM	unreviewed	Translational regulator CsrA (Carbon storage regulator)	csrA AKN88_11310	Oblitimonas alkaliphila	cellular organisms, Bacteria, Proteobacteria, Gammaproteobacteria, Pseudomonadales, Pseudomonadaceae, Oblitimonas, Oblitimonas alkaliphila	Oblitimonas	1697053
P69920	CSRA2_PSEPH	reviewed	Translational regulator CsrA2 (Carbon storage regulator 2) (Regulator of secondary metabolites RsmA)	csrA2 rsmA	Pseudomonas protegens (strain DSM 19095 / LMG 27888 / CFBP 6595 / CHA0)	cellular organisms, Bacteria, Proteobacteria, Gammaproteobacteria, Pseudomonadales, Pseudomonadaceae, Pseudomonas, Pseudomonas fluorescens group (fluorescent pseudomonads), Pseudomonas protegens, Pseudomonas protegens (strain DSM 19095 / LMG 27888 / CFBP 6595 / CHA0)	Pseudomonas	1124983
Q7VQG2	CSRA_BLOFL	reviewed	Translational regulator CsrA (Carbon storage regulator)	csrA Bfl169	Blochmannia floridanus	cellular organisms, Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacterales, Enterobacteriaceae, Enterobacteriaceae incertae sedis, ant, tsetse, mealybug, aphid, etc. endosymbionts, ant endosymbionts, Candidatus Blochmannia, Blochmannia floridanus	Candidatus Blochmannia	203907
A0A1I3RIM9	A0A1I3RIM9_HALDA	unreviewed	Translational regulator CsrA	csrA SAMN04487936_102242	Halobacillus dabanensis	cellular organisms, Bacteria, Terrabacteria group, Firmicutes, Bacilli, Bacillales, Bacillaceae, Halobacillus, Halobacillus dabanensis	Halobacillus	240302
A0A0U9HP54	A0A0U9HP54_9BACT	unreviewed	Translational regulator CsrA	csrA TAGGR_1428	Thermodesulfovibrio aggregans	cellular organisms, Bacteria, Nitrospirae, Thermodesulfovibrionia, Thermodesulfovibrionales, Thermodesulfovibrionaceae, Thermodesulfovibrio, Thermodesulfovibrio aggregans	Thermodesulfovibrio	86166
A0A0D0FGP7	A0A0D0FGP7_9BACI	unreviewed	Translational regulator CsrA	csrA B4064_3822 B4166_1264 B4167_1646	Caldibacillus thermoamylovorans	cellular organisms, Bacteria, Terrabacteria group, Firmicutes, Bacilli, Bacillales, Bacillaceae, Caldibacillus, Caldibacillus thermoamylovorans	Caldibacillus	35841
F2K1D7	F2K1D7_MARM1	unreviewed	Translational regulator CsrA (Carbon storage regulator)	csrA Marme_1812	Marinomonas mediterranea (strain ATCC 700492 / JCM 21426 / NBRC 103028 / MMB-1)	cellular organisms, Bacteria, Proteobacteria, Gammaproteobacteria, Oceanospirillales, Oceanospirillaceae, Marinomonas, Marinomonas mediterranea, Marinomonas mediterranea (strain ATCC 700492 / JCM 21426 / NBRC 103028 / MMB-1)	Marinomonas	717774
B8FK13	CSRA_DESAL	reviewed	Translational regulator CsrA	csrA Dalk_0985	Desulfatibacillum aliphaticivorans	cellular organisms, Bacteria, Proteobacteria, delta/epsilon subdivisions, Deltaproteobacteria, Desulfobacterales, Desulfobacteraceae, Desulfatibacillum, Desulfatibacillum aliphaticivorans	Desulfatibacillum	218208
A0A1H6FVD0	A0A1H6FVD0_THEAL	unreviewed	Translational regulator CsrA	csrA SAMN02745716_1728	Thermoleophilum album	cellular organisms, Bacteria, Terrabacteria group, Actinobacteria, Thermoleophilia, Thermoleophilales, Thermoleophilaceae, Thermoleophilum, Thermoleophilum album	Thermoleophilum	29539
A0A2R4N3K3	A0A2R4N3K3_9FIRM	unreviewed	Translational regulator CsrA	csrA CFE_2545	Carboxydocella thermautotrophica	cellular organisms, Bacteria, Terrabacteria group, Firmicutes, Clostridia, Eubacteriales, Eubacteriales incertae sedis, Clostridiales Family XVI. Incertae Sedis, Carboxydocella, Carboxydocella thermautotrophica	Carboxydocella	178899
A0A4R5XMG3	A0A4R5XMG3_9BACL	unreviewed	Translational regulator CsrA	csrA E2R51_07815	Jeotgalibacillus sp. S-D1	cellular organisms, Bacteria, Terrabacteria group, Firmicutes, Bacilli, Bacillales, Planococcaceae, Jeotgalibacillus, unclassified Jeotgalibacillus, Jeotgalibacillus sp. S-D1	Jeotgalibacillus	2552189
A0A5B9VYE4	A0A5B9VYE4_9BACT	unreviewed	Translational regulator CsrA	csrA_1 csrA OJF2_12350	Aquisphaera giovannonii	cellular organisms, Bacteria, PVC group, Planctomycetes, Planctomycetia, Isosphaerales, Isosphaeraceae, Aquisphaera, Aquisphaera giovannonii	Aquisphaera	406548
A0A2S6GMK0	A0A2S6GMK0_9PSEU	unreviewed	Translational regulator CsrA	csrA CLV40_110168	Actinokineospora auranticolor	cellular organisms, Bacteria, Terrabacteria group, Actinobacteria, Actinomycetia (high G+C Gram-positive bacteria), Pseudonocardiales, Pseudonocardiaceae, Actinokineospora, Actinokineospora auranticolor	Actinokineospora	155976
A0A5B7TC87	A0A5B7TC87_9CLOT	unreviewed	Translational regulator CsrA	csrA FDN13_00920	Caloramator sp. E03	cellular organisms, Bacteria, Terrabacteria group, Firmicutes, Clostridia, Eubacteriales, Clostridiaceae, Caloramator, unclassified Caloramator, Caloramator sp. E03	Caloramator	2576307
A0A7C2KHT2	A0A7C2KHT2_9SPIR	unreviewed	Translational regulator CsrA	csrA ENI73_00195	Spirochaetes bacterium	cellular organisms, Bacteria, Spirochaetes, unclassified Spirochaetes, Spirochaetes bacterium		2202144
A0A517VW23	A0A517VW23_9PLAN	unreviewed	Translational regulator CsrA	csrA_3 csrA csrA_4 V144x_26730 V202x_41860	Gimesia aquarii	cellular organisms, Bacteria, PVC group, Planctomycetes, Planctomycetia, Planctomycetales, Planctomycetaceae, Gimesia, Gimesia aquarii	Gimesia	2527964
Q0B0F6	CSRA_SYNWW	reviewed	Translational regulator CsrA	csrA Swol_0196	Syntrophomonas wolfei subsp. wolfei (strain DSM 2245B / Goettingen)	cellular organisms, Bacteria, Terrabacteria group, Firmicutes, Clostridia, Eubacteriales, Syntrophomonadaceae, Syntrophomonas, Syntrophomonas wolfei, Syntrophomonas wolfei subsp. wolfei, Syntrophomonas wolfei subsp. wolfei (strain DSM 2245B / Goettingen)	Syntrophomonas	335541
A0A068QZS8	A0A068QZS8_9GAMM	unreviewed	Translational regulator CsrA (Carbon storage regulator)	csrA XPG1_0902	Xenorhabdus poinarii G6	cellular organisms, Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacterales, Morganellaceae, Xenorhabdus, Xenorhabdus poinarii, Xenorhabdus poinarii G6	Xenorhabdus	1354304
A0A1E3A752	A0A1E3A752_9FIRM	unreviewed	Translational regulator CsrA	csrA BEH84_04826 BEI59_35385 BEI61_05399	Eisenbergiella tayi	cellular organisms, Bacteria, Terrabacteria group, Firmicutes, Clostridia, Eubacteriales, Lachnospiraceae, Eisenbergiella, Eisenbergiella tayi	Eisenbergiella	1432052
A0A1Y1RVX2	A0A1Y1RVX2_9SPIO	unreviewed	Translational regulator CsrA	csrA B4O97_13010	Marispirochaeta aestuarii	cellular organisms, Bacteria, Spirochaetes, Spirochaetia, Spirochaetales, Spirochaetaceae, Marispirochaeta, Marispirochaeta aestuarii	Marispirochaeta	1963862
